name,description,lat,lon
カレーハウスCoCo壱番屋 渋谷区桜丘町店,渋谷のカレー食えるところ,35.6568778,139.7004311
カレーハウスCoCo壱番屋 渋谷並木橋店,,35.6555346,139.7059885
カレーハウスCoCo壱番屋 渋谷区宇田川町店,,35.6605355,139.6994646
すき家 渋谷桜丘店,,35.6565225,139.7016121
すき家 渋谷南平台店,,35.6557545,139.6971048
すき家 渋谷円山町店,,35.65577,139.6944569
すき家 渋谷二丁目店,,35.658616,139.7081114
松屋 渋谷センター街店,,35.660171,139.698908
松屋 渋谷道玄坂上店,,35.657356,139.696438
松屋 渋谷宮益坂上店,,35.6602661,139.7056083
吉野家 渋谷１０９前店,,35.6592869,139.6992147
男気豚カツカレー渋谷店,"<img src=""https://doc-14-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/29pije9jqclmmlgj2qbfaeua7o/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9kD1ScejaRlfU33iiXWaXqDmLUyNMK5-kXsuEFQM0QBeIgiq8sxwyeUGqKB1cBuCtsGeAmZBBRle7eaTr3zD1hLunGarNJ1Xor2m2GmwwbX3uhI8oAjzM9VUM62G9NBMR7hT5AdcXn0X9ixdK2GMX5RFEhNYAU8oZuI7BelJMnb6GjUC2GZxEgW3Cvn_x2NHnFA?session=2&fife"" height=""200"" width=""auto"" /><br><br>中辛でもなかなか辛いので辛いものが好きな人はおすすめ<br><br>写真は中辛の方のカツカレーのハズ",35.6595204,139.6978115
ゴーゴーカレー 渋谷警察署前スタジアム,,35.6573816,139.7035565
カレー ショップ Ｃ&Ｃ 渋谷店,,35.658613,139.6991018
日乃屋カレー 渋谷三丁目店,,35.6560175,139.7054305
日乃屋カレー 渋谷宮益坂店,,35.6598607,139.7036857
宮本カレー 渋谷道玄坂店,,35.6578869,139.6961907
かつや 渋谷道玄坂店,,35.658784,139.698237
かつ吉 渋谷店,カツカレーがおいしいらしいよ,35.6572056,139.7046417
しぶやくん,玄米カレーがたべれるよ,35.6567417,139.7006622
ガーデンキッチン「かるめら」,カレーもあるよ,35.6564093,139.6993541
キリンシティ 渋谷桜丘店,"<img src=""https://doc-00-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/omjuclmajc1epglgnqtlru8g2k/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9ldL2anl2bJ6ODIRnucFB_ZB7JBVRS_z5RjTtOemxfLCNNv9x_VDwgANOMRvYwYNRIJsGWYv3GH3v1fSQJVyhUih4ce-h3wqOmXUUiu7VHlTa8Ap0MdXX4-HeYVbtevQkkSiluWikgNMn3Vg-5Xd512EN6p7T8HsqUMu9_5c1YcLp7opGbYIBNUq9q1z_a2B3C4?session=2&fife"" height=""200"" width=""auto"" /><br><br>ランチ1000円弱で黒カレー食べれる",35.656689,139.701432
上等カレー 渋谷本店,甘辛い不思議なカレーめっちゃ甘いけどめっちゃ辛い,35.6571334,139.7038008
ハーブガーデン 渋谷店,いつもの,35.6564087,139.701228
カレー屋 パクパクもりもり 渋谷店,"<img src=""https://doc-14-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/mm2578r9f46fhmguola0gihme0/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9kWsAmccxIKWpHnGv-YW9zoVDly4BfcC5ATMrijWGY5yhF0MzvABCsW48Z0DjN0xZbfxZfrtMPf8dmP1TQPEIRHuOLpC3NX1XRc7g6Y0Q2mc5irNj5G__Ypt7IuBlyQSI6OQoQnYU6X8SGSRWzrgxoW29ih6JvArGf2X_ZoNfhLElIZZep98v-6DKhX5e9y4WQf?session=2&fife"" height=""200"" width=""auto"" /><br><br>渋谷のキーマカレーの始祖らしい<br>めちゃうま<br><br>写真はからあげぱくもり",35.6581468,139.6964362
フラヌール,"<img src=""https://doc-0g-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/bddo5nr1ab133qlse7iukjafqk/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9kS9ReFPiD7xTce-J2nCk7JKBdPHteN_Tdts4HY61yLiLt9TG9w2PjE-c9x4bLzA2GzIJp9Mtl_c0SwmKUqHwzhSeITh7xI8Pxf3Xjy8C21KhgHLFIx7M0Fo8XNdM9K-l8phM64WVSK48MztSSoIZo79c0SPOEOzZw2bqKTQ4IX4qdZkIYpM-VH8wfbc45JV7VY?session=2&fife"" height=""200"" width=""auto"" /><br><br>一見するとタバコやのカレーやステーキカレーが名物らしい<br>めちゃうま<br><br>写真はステーキカレー<br>ランチと夜で値段がだいぶ違うみたいなので注意",35.6590358,139.6967902
カリー カイラス,"<img src=""https://doc-0k-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/gk4mkiltcfvbnhqr4v455dfoo8/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9nGHAdf7s5Tpq6X85RdF39zi5y9fBL5TwcOK2nIprS3fmdSjNVWVh43IBJylqhDvZLf54bSXNEOuLwM0HohE-b1_cfI9Ynk8Kc77jgrJZtcXcVJTmX71f6UZ9CdC--TfrBj9mPNUu1fY2-_q2T4fthgYC4255j8rYiIOULqBI8MDRD9ayVRwNFUcfvdLZtGpcvQ?session=2&fife"" height=""200"" width=""auto"" /><br><br>懐かしい感じのカレー、まあまあ並ぶ<br>普通にうまいカレー<br>卓上にいっぱい漬物類あるのありがたい<br><br>写真はカツカレー",35.6571872,139.6963139
いんでいら道玄坂店,"<img src=""https://doc-08-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/1h45tupf9lbn9ab1kkssmf360s/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9lldQeCC3rWT0mt91Rb6fHJWNjNZ3lLnCiomZSYdxnuSFf-OGtxMLOi7FujwzTlGEUIcV-ZUXVV4ssGdwVheap3rdFJDu1dTm_7x-Ske9dKNwVdqSf1zIP9zFMhPCULabQU7870LeiUM3vYJQHlBPCnxir3o93FUGkEX6GKquq3r8mg9_PqHwDtVLKJMYWNViAW?session=2&fife"" height=""200"" width=""auto"" /><br><br>懐かしい感じのカレー、店内BGMも昭和で渋いおっちゃんがワンオペでやってるっぽい<br>普通にうまいカレー<br><br>写真はやさいカレー",35.6592352,139.6979318
ムルギー,"<img src=""https://doc-00-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/f5jcc7foea9kokhk4oarclfjfg/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9ljfJXOCtYVLcASTY5id98vGNTG_WprAVb0UjU8h93RgK7VQRqVkTpbwClYVvxywFYRbRhUjIlsUVsL9_rPRTD-PJdl2gqZhBMvx3MVHBlAyFEXQfwxiYsaP8U9l6jTSkg4WAJidE3Fxsc8VW3PfpQg2OxSsCiKZgRzs_HBFnHgVeUuUgczFbnWpMvVPJgBuwQ6?session=2&fife"" height=""200"" width=""auto"" /><br><br>めっちゃ落ち着いてる感じの老舗カレー屋さん<br>うまいけどちょっと高め、場代込みの値段感ある<br><br>何人かでお話前提で行くのにちょうど良さそう<br><br>写真は玉子入りムルギーカレー",35.6589719,139.6965652
Bar蕾～japanese whisky & srilanka curry,スリランカカレーが食べれるよ<br>トッピング盛り盛りにするのがオススメ,35.6566858,139.6959857
ASTERISK1103,"<img src=""https://doc-0o-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/fjf40nqu1f8ig1ovrl4ev7c170/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9nyL627Xief_gm-1WCY9kJm5VdoyqboK-ooKOK0YRmMqANR2Kv6k-aVI4le1t35U6IK2V95uKq7s4i4WTydvW8Uy8EQLT0EtmmBIdA1AWJzADroqF1kUHr3ucXC2z1bx7HalaHfLolVv_opuhoBAb1vD-kQjEc0XtR2wI9lwbkxi3f2xNyAAyakPcMDXR56oaT0?session=2&fife"" height=""200"" width=""auto"" /><br><br>カレー屋さんじゃないけどカレーうまかった<br><br>シャバシャバ系",35.660626,139.705178
カレーショップ初恋,"<img src=""https://doc-14-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/gaboknaeu2l9j53ve8bencev1g/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9kqjsM8NlBzBPMZBMSbZJuerpsgdvPu6Q7EMKmbPdap0qCPoRLGDFeqwwlPON5-7jzptVzFpzmXsH4oeQ677_9t761imyFzTXmeQlBkORVYZ8G16tMBLFR9fXvc3G2MwsDNDJdQrdB7LljbhANIR8Fq8ve3lSfh9SR3SrNt23uHvMq3LHJ2M69LVLlbNWEfW8l8?session=2&fife"" height=""200"" width=""auto"" /><br><br>スリランカカレーやさんらしい上手い<br><br>写真は初恋チキン",35.6570989,139.6967414
ネパリコ 渋谷店,ネパール料理屋,35.6558378,139.6983928
Kari Kari Spice -KKS-,,35.6558168,139.6933205
MUSIC BAR Boogie Back,"<img src=""https://doc-0c-7k-mymaps.googleusercontent.com/untrusted/hostedimage/svprhfhtta2hhvos732dgfb5f4/v7efncqqs0utpp4ioe9l2u9sr8/1670571305000/65wzQ3eoxmX3HMH_EikssBxvFpaohaPZ/07629343637657620467/5AKgB-9kWyQDaCwVeQSCCNnFOPwjNgdLFJe2keQgVOcOXfq0RWJwZ5eq3p7vVYiK1nLINMjHzYMfejoRM-iWOyYEBPRXTe1ZgfXXCI3ukiJsiVmKry5y3TFESyk3envxUP5ORM5dO0XOLqdhGipndUOeapNMNX8boZYcXEgwko_t2mQy0aKkX9xniwkLKQV2YUwFBgv9a?session=2&fife"" height=""200"" width=""auto"" /><br><br>木、金だかがお昼営業しててカレー出してました",35.65655,139.697546
カレーやさん リトルショップ,,35.6593292,139.6943858
もうやんカレー246(渋谷店),,35.6606834,139.7063351
マリーアイランガニー,,35.6612574,139.6963824
SHANTi 渋谷店,,35.6585507,139.6974992